User_ID,customer_country,customer_age_group,customer_signup_date
14a322ad,India,50+,2022-10-04
133c23df,India,26-35,2023-10-12
09b8e30c,India,18-25,2022-02-06
526f0441,India,36-50,2023-06-30
91932784,India,26-35,2024-01-23
391837b0,UK,50+,2023-09-17
a8fc7be9,India,36-50,2022-06-11
8c3265d7,India,26-35,2022-11-25
839f23dc,UAE,36-50,2022-05-27
847a300e,India,36-50,2022-01-15
1dac4ff2,India,26-35,2023-10-23
95912e32,India,26-35,2023-09-30
8b962cd8,USA,18-25,2023-12-22
29b418a7,UK,26-35,2023-05-02
ed2e3289,India,36-50,2023-08-08
065534e3,India,26-35,2021-11-30
6af4e7e9,UAE,26-35,2023-05-11
076f21ca,India,36-50,2023-07-25
f01b43f7,UAE,18-25,2022-04-20
470c391e,India,26-35,2021-07-27
bc1fe366,Others,36-50,2023-08-24
67475da1,UAE,26-35,2022-11-24
01d6ef4f,India,26-35,2023-10-27
21bf6170,India,26-35,2021-09-21
4ec6ded9,India,36-50,2024-04-28
a4918e3a,India,26-35,2024-02-21
1886386b,India,18-25,2021-10-26
fe8a21d2,India,18-25,2021-08-12
a5b9d3d5,India,36-50,2022-11-29
cdb8c480,India,26-35,2023-02-28
86cbee34,UAE,36-50,2022-06-19
3a6c34b5,India,26-35,2024-06-09
68073337,UAE,26-35,2021-10-10
cf03c6d8,India,50+,2023-06-24
7cb6d3eb,India,18-25,2022-10-23
900e8f32,India,18-25,2022-07-20
79b8569c,India,26-35,2022-12-08
00e75d81,India,18-25,2023-03-26
a1279ac2,India,26-35,2023-01-03
93b27ac2,Others,50+,2024-05-02
a3185b29,India,36-50,2023-08-15
11ba2467,UAE,26-35,2024-03-11
16dc86bb,India,36-50,2024-04-25
0593db79,India,18-25,2022-06-20
56cc761e,India,26-35,2024-01-07
d0415285,UK,26-35,2022-09-20
e1c29bb9,India,26-35,2024-01-04
431691b6,UK,18-25,2023-03-29
204fab33,India,36-50,2023-03-22
0bade6a5,India,36-50,2022-03-11
bdddfd8f,India,36-50,2023-08-30
d290ed45,India,18-25,2022-06-08
4350a1b5,India,26-35,2021-05-17
b1fe155c,India,50+,2023-07-03
73b0732b,India,26-35,2021-06-13
7cfa271c,India,26-35,2021-11-04
1e77e045,India,50+,2024-07-19
4b6d41b3,India,26-35,2024-03-17
3eb4bfdf,India,26-35,2021-06-26
ec2e8c2b,India,26-35,2022-07-07
e45dfd34,UAE,26-35,2022-10-18
5437e569,UAE,36-50,2023-11-15
adf25ccc,India,26-35,2022-07-07
d06eda6c,India,26-35,2022-06-30
41b1a40a,India,26-35,2022-12-29
317bca3f,USA,18-25,2023-11-18
5e956744,UAE,26-35,2024-06-30
eb72f968,India,18-25,2024-04-28
4ec1bc01,UK,36-50,2023-01-24
7f9c9f2c,India,26-35,2024-01-26
d72ba85d,India,26-35,2023-07-19
f33c5a33,USA,26-35,2022-02-15
c9939103,UK,26-35,2024-02-18
03632dc7,UAE,26-35,2023-05-24
014b0b14,India,50+,2021-09-12
e47fbc15,India,26-35,2021-11-26
