Product_ID,Category,brand,price_band
880eab94-7,Home & Kitchen,Brand D,Medium
1676300b-1,Toys,Brand C,High
d57ebdfe-f,Toys,Brand C,Medium
a2638fa2-0,Toys,Brand A,Low
1306885a-f,Books,Brand D,Medium
af326e04-8,Sports,Brand A,High
94db1f71-4,Toys,Brand C,Medium
08562850-3,Sports,Brand C,High
2838f818-c,Home & Kitchen,Brand C,High
233f387c-1,Clothing,Brand C,Medium
ebe13d4f-7,Sports,Brand B,High
9bb22a8b-a,Home & Kitchen,Brand C,Medium
5ed1a6ec-f,Home & Kitchen,Brand D,Medium
741436e6-7,Sports,Brand C,High
4730cccc-1,Home & Kitchen,Brand B,Medium
c8128ce6-f,Beauty,Brand D,High
805daac9-0,Clothing,Brand B,Low
7310a662-e,Beauty,Brand B,Low
5e6ccb0a-7,Clothing,Brand D,High
868803c9-8,Toys,Brand B,High
bbf5a8c4-c,Books,Brand C,High
7d8a413d-2,Books,Brand A,High
842ffe80-1,Clothing,Brand A,High
3e051cec-b,Beauty,Brand A,High
cb17280c-0,Beauty,Brand D,High
3a6f68d0-c,Books,Brand D,High
8583655b-4,Clothing,Brand D,Medium
5e2b3419-a,Home & Kitchen,Brand A,High
6ddaa573-1,Home & Kitchen,Brand A,High
511ebbe1-b,Electronics,Brand D,Medium
21341a74-3,Home & Kitchen,Brand A,High
9d783d45-f,Toys,Brand B,High
45f6a7d5-8,Electronics,Brand B,High
3a45b287-4,Home & Kitchen,Brand A,High
d5c83689-d,Toys,Brand D,High
19603713-f,Sports,Brand C,Medium
d36a344e-f,Home & Kitchen,Brand C,Medium
7150ff17-b,Sports,Brand A,High
934af6fa-9,Sports,Brand C,High
590b8280-4,Sports,Brand D,High
27fb556a-3,Clothing,Brand B,High
e9b42654-9,Beauty,Brand B,Medium
fe7b7f45-d,Books,Brand D,High
747539b8-3,Electronics,Brand C,High
023a6d02-4,Clothing,Brand A,High
ddc5cc56-d,Home & Kitchen,Brand B,Medium
3ee7c3f5-1,Beauty,Brand C,Medium
ce301235-0,Books,Brand C,Medium
8c9a5f54-b,Home & Kitchen,Brand B,High
7f815c17-f,Electronics,Brand B,Medium
5deea061-5,Toys,Brand A,High
6e38e927-b,Toys,Brand D,Medium
89023a7d-8,Toys,Brand C,Medium
4843631e-4,Sports,Brand A,Medium
f2abc93d-7,Books,Brand B,Medium
c0cfe18f-a,Toys,Brand D,Low
6f933a3f-7,Clothing,Brand D,High
84be7a5a-2,Electronics,Brand C,High
602bb15e-4,Clothing,Brand D,High
9f8a2ddf-4,Home & Kitchen,Brand B,High
6e2c6f03-9,Home & Kitchen,Brand B,Medium
7bc64761-0,Sports,Brand B,Medium
31f57700-9,Beauty,Brand A,Medium
d289d18d-5,Sports,Brand B,High
bc3a7a7a-1,Books,Brand A,Medium
26c3c2aa-e,Clothing,Brand B,High
84478b2a-7,Beauty,Brand B,High
85842870-7,Beauty,Brand D,Medium
93d9b420-b,Beauty,Brand C,High
64049319-8,Clothing,Brand B,Medium
d14ce47a-e,Beauty,Brand D,High
4116b831-2,Electronics,Brand D,Medium
7ae18ecd-b,Toys,Brand C,Medium
3c9a3ef2-d,Home & Kitchen,Brand D,High
411d96de-8,Beauty,Brand D,High
176b24ce-d,Books,Brand C,Medium
c0c0bc6d-5,Beauty,Brand A,High
49f5da4e-a,Beauty,Brand C,High
19f3b34c-3,Beauty,Brand C,Medium
1a2c6fc4-3,Sports,Brand B,High
bc8f50c4-2,Electronics,Brand B,High
ee5461f9-5,Beauty,Brand A,Medium
7db532eb-7,Toys,Brand C,Medium
ab7ff487-1,Books,Brand C,High
54768b80-4,Toys,Brand A,High
f474b729-5,Clothing,Brand B,Medium
c3fe6a0a-3,Books,Brand C,High
dea0d8ef-d,Clothing,Brand A,High
18cc36c2-2,Home & Kitchen,Brand B,High
bd32ad96-9,Beauty,Brand D,High
63f3bf90-9,Home & Kitchen,Brand A,High
9150cb0b-4,Beauty,Brand A,Low
d0d702ad-8,Electronics,Brand C,High
73bd1e59-9,Clothing,Brand D,Medium
d474e7e9-2,Electronics,Brand B,High
89c2cf5c-5,Beauty,Brand D,High
4da1fb5d-d,Clothing,Brand C,Medium
ceab308d-f,Electronics,Brand C,High
ac551181-6,Books,Brand B,High
db03816d-5,Beauty,Brand B,Medium
21f8295d-0,Sports,Brand B,High
df1e3f0d-5,Toys,Brand C,Medium
3abe5b39-e,Clothing,Brand B,High
7ce62017-e,Electronics,Brand B,High
a845a942-7,Books,Brand B,High
bb6469a8-e,Electronics,Brand A,High
137695d9-6,Home & Kitchen,Brand B,High
