order_id,transaction_id,User_ID,Product_ID,quantity,Final_Price(Rs.),net_revenue,date_id,Payment_Method,payment_id,shipping_cost,order_status,order_total,Price (Rs.),Discount_Percent
1000,5000,14a322ad,880eab94-7,2,130.03,260.06,1,UPI,1,15.39,Delivered,260.06,152.98,15.0
1001,5001,133c23df,1676300b-1,3,175.15,525.45,2,Debit Card,2,13.88,Delivered,596.7,233.53,25.0
1001,5001,09b8e30c,d57ebdfe-f,1,71.25,71.25,3,UPI,1,13.88,Delivered,596.7,71.25,0.0
1002,5002,526f0441,a2638fa2-0,2,7.49,14.98,4,Net Banking,3,18.18,Delivered,114.04,14.98,50.0
1002,5002,91932784,1306885a-f,1,99.06,99.06,5,Credit Card,4,18.18,Delivered,114.04,198.11,50.0
1003,5003,391837b0,af326e04-8,2,418.48,836.96,6,Debit Card,2,10.35,Cancelled,836.96,464.98,10.0
1004,5004,a8fc7be9,94db1f71-4,1,46.2,46.2,7,Net Banking,3,9.5,Returned,46.2,92.41,50.01
1005,5005,8c3265d7,08562850-3,1,134.94,134.94,8,UPI,1,8.21,Delivered,591.7,269.87,50.0
1005,5005,839f23dc,2838f818-c,2,228.38,456.76,9,Net Banking,3,8.21,Delivered,591.7,285.47,20.0
1006,5006,847a300e,233f387c-1,3,72.41,217.23,10,Debit Card,2,5.57,Delivered,651.17,103.44,30.0
1006,5006,1dac4ff2,ebe13d4f-7,1,433.94,433.94,6,Cash on Delivery,5,5.57,Delivered,651.17,433.94,0.0
1007,5007,95912e32,9bb22a8b-a,1,73.62,73.62,11,Credit Card,4,5.65,Delivered,555.54,92.03,20.0
1007,5007,8b962cd8,5ed1a6ec-f,1,153.82,153.82,12,UPI,1,5.65,Delivered,555.54,192.28,20.0
1007,5007,29b418a7,741436e6-7,1,328.1,328.1,13,UPI,1,5.65,Delivered,555.54,468.72,30.0
1008,5008,ed2e3289,4730cccc-1,2,96.96,193.92,14,Credit Card,4,18.05,Delivered,193.92,121.2,20.0
1009,5009,065534e3,c8128ce6-f,1,279.68,279.68,15,Cash on Delivery,5,15.18,Delivered,279.68,372.91,25.0
1010,5010,6af4e7e9,805daac9-0,2,15.34,30.68,16,Cash on Delivery,5,14.91,Delivered,30.68,30.68,50.0
1011,5011,076f21ca,7310a662-e,1,42.85,42.85,17,Credit Card,4,14.22,Delivered,42.85,42.85,0.0
1012,5012,f01b43f7,5e6ccb0a-7,4,193.02,772.08,18,Credit Card,4,17.74,Delivered,1167.52,227.08,15.0
1012,5012,470c391e,868803c9-8,1,395.44,395.44,19,Cash on Delivery,5,17.74,Delivered,1167.52,494.3,20.0
1013,5013,bc1fe366,bbf5a8c4-c,1,247.26,247.26,20,Cash on Delivery,5,12.2,Delivered,1267.41,290.9,15.0
1013,5013,67475da1,7d8a413d-2,1,371.67,371.67,21,Credit Card,4,12.2,Delivered,1267.41,371.67,0.0
1013,5013,01d6ef4f,842ffe80-1,2,324.24,648.48,22,Net Banking,3,12.2,Delivered,1267.41,405.3,20.0
1014,5014,21bf6170,3e051cec-b,1,351.16,351.16,23,UPI,1,18.06,Returned,351.16,438.95,20.0
1015,5015,4ec6ded9,cb17280c-0,1,221.53,221.53,24,Debit Card,2,10.39,Delivered,652.6899999999999,221.53,0.0
1015,5015,a4918e3a,3a6f68d0-c,3,143.72,431.16,25,Net Banking,3,10.39,Delivered,652.6899999999999,287.43,50.0
1016,5016,1886386b,8583655b-4,3,77.07,231.21,26,Credit Card,4,18.9,Delivered,231.21,96.34,20.0
1017,5017,fe8a21d2,5e2b3419-a,2,362.82,725.64,27,Debit Card,2,15.48,Delivered,725.64,453.53,20.0
1018,5018,a5b9d3d5,6ddaa573-1,1,193.48,193.48,28,Credit Card,4,8.86,Delivered,274.58,214.98,10.0
1018,5018,cdb8c480,511ebbe1-b,1,81.1,81.1,29,Debit Card,2,8.86,Delivered,274.58,101.38,20.0
1019,5019,86cbee34,21341a74-3,2,350.6,701.2,15,Debit Card,2,13.46,Delivered,701.2,369.05,5.0
1020,5020,3a6c34b5,9d783d45-f,1,151.76,151.76,30,Cash on Delivery,5,13.0,Delivered,151.76,216.8,30.0
1021,5021,68073337,45f6a7d5-8,1,198.95,198.95,31,Credit Card,4,7.07,Delivered,198.95,265.27,25.0
1022,5022,cf03c6d8,3a45b287-4,1,114.56,114.56,32,UPI,1,13.87,Delivered,949.92,229.13,50.0
1022,5022,7cb6d3eb,d5c83689-d,4,208.84,835.36,33,Credit Card,4,13.87,Delivered,949.92,219.83,5.0
1023,5023,900e8f32,19603713-f,1,127.22,127.22,34,Cash on Delivery,5,9.72,Delivered,264.28,159.03,20.0
1023,5023,79b8569c,d36a344e-f,2,68.53,137.06,35,Debit Card,2,9.72,Delivered,264.28,68.53,0.0
1024,5024,00e75d81,7150ff17-b,1,235.23,235.23,36,UPI,1,5.79,Delivered,1392.17,336.05,30.0
1024,5024,a1279ac2,934af6fa-9,2,231.42,462.84,37,Credit Card,4,5.79,Delivered,1392.17,289.28,20.0
1024,5024,93b27ac2,590b8280-4,2,347.05,694.1,12,UPI,1,5.79,Delivered,1392.17,365.32,5.0
1025,5025,a3185b29,27fb556a-3,1,457.07,457.07,38,Cash on Delivery,5,19.23,Delivered,505.47,457.07,0.0
1025,5025,11ba2467,e9b42654-9,1,48.4,48.4,39,Net Banking,3,19.23,Delivered,505.47,96.8,50.0
1026,5026,16dc86bb,fe7b7f45-d,2,265.2,530.4,40,Debit Card,2,14.62,Delivered,899.03,312.0,15.0
1026,5026,0593db79,747539b8-3,1,368.63,368.63,41,Net Banking,3,14.62,Delivered,899.03,388.03,5.0
1027,5027,56cc761e,023a6d02-4,2,159.75,319.5,42,Cash on Delivery,5,18.15,Delivered,319.5,213.0,25.0
1028,5028,d0415285,ddc5cc56-d,2,85.09,170.18,43,Net Banking,3,15.14,Delivered,170.18,170.19,50.0
1029,5029,e1c29bb9,3ee7c3f5-1,1,67.02,67.02,44,Cash on Delivery,5,10.35,Delivered,67.02,134.04,50.0
1030,5030,431691b6,ce301235-0,1,93.65,93.65,11,Net Banking,3,12.69,Delivered,352.57000000000005,187.3,50.0
1030,5030,204fab33,8c9a5f54-b,1,258.92,258.92,45,Credit Card,4,12.69,Delivered,352.57000000000005,287.69,10.0
1031,5031,0bade6a5,7f815c17-f,2,99.17,198.34,18,Net Banking,3,15.14,Returned,1058.67,132.23,25.0
1031,5031,bdddfd8f,5deea061-5,1,291.53,291.53,46,Cash on Delivery,5,15.14,Returned,1058.67,291.53,0.0
1031,5031,d290ed45,6e38e927-b,4,142.2,568.8,39,Debit Card,2,15.14,Returned,1058.67,158.0,10.0
1032,5032,4350a1b5,89023a7d-8,4,124.34,497.36,47,Credit Card,4,19.4,Cancelled,497.36,155.42,20.0
1033,5033,b1fe155c,4843631e-4,1,65.21,65.21,24,Cash on Delivery,5,8.81,Delivered,233.39,86.95,25.0
1033,5033,73b0732b,f2abc93d-7,1,168.18,168.18,48,UPI,1,8.81,Delivered,233.39,168.18,0.0
1034,5034,7cfa271c,c0cfe18f-a,1,42.79,42.79,49,Credit Card,4,18.12,Cancelled,42.79,47.54,9.99
1035,5035,1e77e045,6f933a3f-7,4,366.93,1467.72,50,Cash on Delivery,5,18.86,Delivered,1816.88,386.24,5.0
1035,5035,4b6d41b3,84be7a5a-2,1,349.16,349.16,51,Net Banking,3,18.86,Delivered,1816.88,436.45,20.0
1036,5036,3eb4bfdf,602bb15e-4,1,466.18,466.18,52,UPI,1,15.06,Returned,1014.08,466.18,0.0
1036,5036,ec2e8c2b,9f8a2ddf-4,2,273.95,547.9,53,Net Banking,3,15.06,Returned,1014.08,342.44,20.0
1037,5037,e45dfd34,6e2c6f03-9,1,73.67,73.67,54,Debit Card,2,18.97,Delivered,73.67,105.25,30.0
1038,5038,5437e569,7bc64761-0,1,83.14,83.14,19,UPI,1,10.97,Delivered,83.14,83.14,0.0
1039,5039,adf25ccc,31f57700-9,1,89.13,89.13,55,Net Banking,3,19.3,Delivered,888.74,93.82,5.0
1039,5039,d06eda6c,d289d18d-5,2,264.9,529.8,56,Net Banking,3,19.3,Delivered,888.74,331.13,20.0
1039,5039,41b1a40a,bc3a7a7a-1,1,107.26,107.26,57,Cash on Delivery,5,19.3,Delivered,888.74,119.18,10.0
