order_id,transaction_id,User_ID,Payment_Method,shipping_cost,order_status,total_items,order_total
1000,5000,14a322ad,UPI,15.39,Delivered,1,260.06
1001,5001,133c23df,Debit Card,13.88,Delivered,2,596.7
1002,5002,526f0441,Net Banking,18.18,Delivered,2,114.04
1003,5003,391837b0,Debit Card,10.35,Cancelled,1,836.96
1004,5004,a8fc7be9,Net Banking,9.5,Returned,1,46.2
1005,5005,8c3265d7,UPI,8.21,Delivered,2,591.7
1006,5006,847a300e,Debit Card,5.57,Delivered,2,651.17
1007,5007,95912e32,Credit Card,5.65,Delivered,3,555.54
1008,5008,ed2e3289,Credit Card,18.05,Delivered,1,193.92
1009,5009,065534e3,Cash on Delivery,15.18,Delivered,1,279.68
1010,5010,6af4e7e9,Cash on Delivery,14.91,Delivered,1,30.68
1011,5011,076f21ca,Credit Card,14.22,Delivered,1,42.85
1012,5012,f01b43f7,Credit Card,17.74,Delivered,2,1167.52
1013,5013,bc1fe366,Cash on Delivery,12.2,Delivered,3,1267.41
1014,5014,21bf6170,UPI,18.06,Returned,1,351.16
1015,5015,4ec6ded9,Debit Card,10.39,Delivered,2,652.6899999999999
1016,5016,1886386b,Credit Card,18.9,Delivered,1,231.20999999999998
1017,5017,fe8a21d2,Debit Card,15.48,Delivered,1,725.64
1018,5018,a5b9d3d5,Credit Card,8.86,Delivered,2,274.58
1019,5019,86cbee34,Debit Card,13.46,Delivered,1,701.2
1020,5020,3a6c34b5,Cash on Delivery,13.0,Delivered,1,151.76
1021,5021,68073337,Credit Card,7.07,Delivered,1,198.95
1022,5022,cf03c6d8,UPI,13.87,Delivered,2,949.9200000000001
1023,5023,900e8f32,Cash on Delivery,9.72,Delivered,2,264.28
1024,5024,00e75d81,UPI,5.79,Delivered,3,1392.17
1025,5025,a3185b29,Cash on Delivery,19.23,Delivered,2,505.46999999999997
1026,5026,16dc86bb,Debit Card,14.62,Delivered,2,899.03
1027,5027,56cc761e,Cash on Delivery,18.15,Delivered,1,319.5
1028,5028,d0415285,Net Banking,15.14,Delivered,1,170.18
1029,5029,e1c29bb9,Cash on Delivery,10.35,Delivered,1,67.02
1030,5030,431691b6,Net Banking,12.69,Delivered,2,352.57000000000005
1031,5031,0bade6a5,Net Banking,15.14,Returned,3,1058.67
1032,5032,4350a1b5,Credit Card,19.4,Cancelled,1,497.36
1033,5033,b1fe155c,Cash on Delivery,8.81,Delivered,2,233.39
1034,5034,7cfa271c,Credit Card,18.12,Cancelled,1,42.79
1035,5035,1e77e045,Cash on Delivery,18.86,Delivered,2,1816.88
1036,5036,3eb4bfdf,UPI,15.06,Returned,2,1014.0799999999999
1037,5037,e45dfd34,Debit Card,18.97,Delivered,1,73.67
1038,5038,5437e569,UPI,10.97,Delivered,1,83.14
1039,5039,adf25ccc,Net Banking,19.3,Delivered,4,888.74
1040,5040,5e956744,Debit Card,15.54,Delivered,1,1179.8700000000001
1041,5041,eb72f968,Cash on Delivery,5.63,Delivered,4,723.3
1042,5042,f33c5a33,Debit Card,18.6,Cancelled,1,119.9
1043,5043,c9939103,UPI,12.27,Delivered,3,767.5999999999999
1044,5044,e47fbc15,Net Banking,11.9,Delivered,1,83.16
1045,5045,86289c63,UPI,13.5,Delivered,1,287.78
1046,5046,f95064b0,Credit Card,7.24,Delivered,3,564.39
1047,5047,152a3010,Debit Card,12.04,Delivered,1,404.92
1048,5048,2498a9ec,Credit Card,17.47,Delivered,2,139.36
1049,5049,599dbf81,Debit Card,5.23,Delivered,1,590.82
1050,5050,d5fba1fa,Debit Card,9.09,Delivered,1,312.27
1051,5051,d1dd56ce,Debit Card,5.04,Delivered,1,164.14
1052,5052,d4c421dd,Credit Card,11.24,Delivered,2,739.21
1053,5053,f42d759a,Cash on Delivery,15.92,Delivered,1,165.26
1054,5054,2f2e35cd,Cash on Delivery,16.98,Cancelled,2,1289.74
1055,5055,2d6ba8ae,Cash on Delivery,19.18,Delivered,1,24.09
1056,5056,f198455a,Credit Card,14.13,Delivered,1,491.16
1057,5057,bd3518f0,UPI,8.82,Delivered,3,459.94
1058,5058,dc5e478b,Cash on Delivery,18.86,Delivered,1,225.54
1059,5059,557f87a5,Credit Card,16.63,Delivered,1,182.93
1060,5060,82abf471,UPI,13.62,Delivered,1,332.35
1061,5061,ff119d8e,Debit Card,15.43,Delivered,2,642.16
1062,5062,fb1b3d3f,Credit Card,18.86,Delivered,2,549.8
1063,5063,104cbed3,Debit Card,15.69,Delivered,1,472.29
1064,5064,0bfdb241,Net Banking,10.53,Delivered,1,139.35
1065,5065,7c5e50fe,Debit Card,15.7,Delivered,1,496.34
1066,5066,b2ab489e,UPI,5.6,Delivered,1,203.72
1067,5067,458c8213,Credit Card,10.8,Delivered,1,250.89
1068,5068,6579b70c,Credit Card,11.09,Delivered,2,1156.1299999999999
1069,5069,8199bac3,Debit Card,7.5,Delivered,1,518.2
1070,5070,021adfb6,Credit Card,5.35,Delivered,1,909.99
1071,5071,a669be47,Cash on Delivery,7.0,Delivered,1,399.44
1072,5072,16589213,Net Banking,14.82,Delivered,1,61.27
1073,5073,ebded5a7,Credit Card,17.03,Delivered,1,221.04
1074,5074,18571441,Debit Card,19.82,Delivered,3,761.68
1075,5075,744e3383,Debit Card,10.2,Delivered,1,209.13
1076,5076,5a96e989,Credit Card,13.99,Delivered,1,1016.25
1077,5077,0b18eb06,Credit Card,19.06,Delivered,2,333.28999999999996
